objectName,size[B],locationVector,locationProbVector,class
O345,1000,9727 1 973 0479,0.5 0.2 0.2 0.1,0
O153,1234,10058 9999 9919,0.66 0.14 0.1,0
ZX552,890,,,1
ZX469,900,,,1
H1,1000,9727 1 973 0479,0.5 0.2 0.2 0.1,0
H2,1234,10058 9999 9919,0.66 0.14 0.1,0
H3,890,,,1
K15,900,,,1
H31,1000,9727 1 973 0479,0.5 0.2 0.2 0.1,0
K17,1234,10058 9999 9919,0.66 0.14 0.1,0
K58,890,,,1
KA795,900,,,1
HAR73,1000,9727 1 973 0479,0.5 0.2 0.2 0.1,0
OR89,1234,10058 9999 9919,0.66 0.14 0.1,0
ORY75,890,,,1
DV75,900,,,1
SA587,1000,9727 1 973 0479,0.5 0.2 0.2 0.1,0
OM43,1234,10058 9999 9919,0.66 0.14 0.1,0
XC75,890,,,1
SD36,900,,,1
